Iteration,HW_Latency_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms
514,0.355678,0.112507,0.179117,0.064054
515,0.440217,0.109276,0.257117,0.073824
516,0.445693,0.104527,0.27809,0.063076
517,0.429574,0.10704,0.243027,0.079507
518,0.449239,0.098856,0.286323,0.06406
519,0.356074,0.125357,0.167593,0.063124
520,0.546047,0.10378,0.37755,0.064717
521,0.38399,0.117417,0.202823,0.06375
522,0.362763,0.075886,0.224277,0.0626
523,0.710461,0.11236,0.534114,0.063987
524,0.391443,0.108743,0.21863,0.06407
525,0.609563,0.10974,0.439017,0.060806
526,0.377734,0.10511,0.21067,0.061954
527,0.412347,0.1103,0.237737,0.06431
528,0.410977,0.109703,0.234767,0.066507
529,0.389851,0.110851,0.213184,0.065816
530,0.440011,0.107307,0.268967,0.063737
531,0.444706,0.111143,0.27069,0.062873
532,0.36816,0.118007,0.18691,0.063243
533,0.408093,0.110627,0.235003,0.062463
534,0.306997,0.07705,0.167627,0.06232
535,0.374001,0.103464,0.20799,0.062547
536,0.413744,0.11258,0.22915,0.072014
537,0.379006,0.106866,0.20826,0.06388
538,0.373167,0.10709,0.230374,0.035703
539,0.461783,0.10265,0.29316,0.065973
540,0.359513,0.11115,0.18496,0.063403
541,0.370535,0.099704,0.209647,0.061184
542,0.682337,0.112743,0.506157,0.063437
543,0.339503,0.099586,0.177793,0.062124
544,0.387273,0.115516,0.207837,0.06392
545,0.396607,0.109003,0.225424,0.06218
546,0.383833,0.10936,0.21151,0.062963
547,0.809566,0.110223,0.63703,0.062313
548,0.501126,0.107973,0.33049,0.062663
549,0.372095,0.116134,0.193664,0.062297
550,0.402881,0.106564,0.25017,0.046147
551,0.358468,0.103457,0.192767,0.062244
552,0.402726,0.112813,0.226323,0.06359
553,0.375941,0.095753,0.217071,0.063117
554,0.303957,0.100494,0.16882,0.034643
555,0.416823,0.10936,0.24449,0.062973
556,0.383363,0.11019,0.208893,0.06428
557,0.819207,0.107613,0.648644,0.06295
558,0.612344,0.123947,0.425601,0.062796
559,0.48453,0.111763,0.30903,0.063737
560,0.477151,0.110424,0.304607,0.06212
561,0.413746,0.107543,0.24219,0.064013
562,0.348839,0.109193,0.176246,0.0634
563,0.471141,0.10375,0.303861,0.06353
564,0.35812,0.118046,0.176447,0.063627
565,0.362896,0.121613,0.179563,0.06172
566,0.57912,0.107276,0.407007,0.064837
567,0.686585,0.110717,0.513781,0.062087
568,0.446478,0.10986,0.273424,0.063194
569,0.374644,0.11732,0.194167,0.063157
570,0.322118,0.096944,0.191234,0.03394
571,0.344621,0.09478,0.187807,0.062034
572,0.411337,0.114127,0.232824,0.064386
573,0.357501,0.108207,0.185854,0.06344
574,0.396421,0.104433,0.228751,0.063237
575,0.384826,0.101476,0.22112,0.06223
576,0.678117,0.115376,0.499518,0.063223
577,0.475224,0.112914,0.297873,0.064437
578,0.366087,0.109053,0.193614,0.06342
579,0.421091,0.114577,0.242557,0.063957
580,0.771293,0.105543,0.602977,0.062773
581,0.412074,0.107784,0.240047,0.064243
582,0.399304,0.109917,0.217347,0.07204
583,0.966947,0.11101,0.793927,0.06201
584,0.37296,0.10912,0.200503,0.063337
585,0.401794,0.105777,0.223087,0.07293
586,0.424877,0.096423,0.291604,0.03685
587,0.355278,0.110057,0.180501,0.06472
588,0.335123,0.10429,0.189517,0.041316
589,0.355386,0.108253,0.183416,0.063717
590,0.377966,0.112953,0.2027,0.062313
591,0.484471,0.120834,0.297144,0.066493
592,0.333657,0.076124,0.196147,0.061386
593,0.44064,0.11151,0.266404,0.062726
594,0.416919,0.109026,0.243963,0.06393
595,0.479334,0.105724,0.311967,0.061643
596,0.481467,0.107767,0.31005,0.06365
597,0.415197,0.111243,0.242717,0.061237
598,0.453364,0.107913,0.282434,0.063017
599,0.442081,0.106457,0.274247,0.061377
600,0.396523,0.1092,0.224453,0.06287
601,0.488963,0.070527,0.35449,0.063946
602,0.311176,0.083033,0.18994,0.038203
603,0.276659,0.049506,0.16478,0.062373
604,0.505501,0.079794,0.364147,0.06156
605,0.407549,0.065656,0.27878,0.063113
606,0.47008,0.113043,0.293954,0.063083
607,0.469908,0.107237,0.300041,0.06263
608,0.370569,0.104013,0.22727,0.039286
609,0.475994,0.099754,0.309863,0.066377
610,0.292523,0.08175,0.179623,0.03115
611,0.44116,0.126513,0.25015,0.064497
612,0.373486,0.1186,0.190993,0.063893
613,0.375658,0.084114,0.226614,0.06493
614,0.338561,0.082324,0.190433,0.065804
615,0.403634,0.10422,0.23636,0.063054
616,0.396937,0.10584,0.228543,0.062554
617,0.378483,0.105323,0.211916,0.061244
618,0.372273,0.113576,0.19407,0.064627
619,0.390021,0.096044,0.232034,0.061943
620,0.40165,0.08539,0.278514,0.037746
621,0.487,0.086033,0.338964,0.062003
622,0.408524,0.11145,0.258297,0.038777
623,0.399784,0.098557,0.23652,0.064707
